Code_BV_Complet;Libellé commune;Exprimés;PCT_RN;PCT_UG;PCT_ENS
33331044;Castelnau-de-Médoc;650;43.08;29.85;17.38
33331051;Castelviel;111;56.76;20.72;18.92
33331061;Castets et Castillon;659;45.98;24.73;25.19
33331062;Castets et Castillon;160;31.87;30.0;33.75
33331081;Castillon-la-Bataille;566;46.29;22.44;29.33
33331082;Castillon-la-Bataille;523;41.68;28.3;27.53
33331091;Castres-Gironde;660;37.88;33.64;26.36
33331092;Castres-Gironde;593;36.76;28.84;30.35
33331111;Caudrot;516;42.25;21.51;27.13
33331121;Caumont;74;36.49;17.57;43.24
33331131;Cauvignac;96;44.79;20.83;32.29
33331141;Cavignac;913;56.08;20.04;21.69
33331151;Cazalis;168;41.67;34.52;20.24
33331161;Cazats;231;51.95;18.18;27.71
33331171;Cazaugitat;120;30.83;23.33;45.0
33331181;Cénac;659;27.01;33.23;34.6
33331182;Cénac;682;27.42;32.99;33.14
33331191;Cenon;501;18.36;62.08;13.17
33331192;Cenon;393;21.88;59.54;14.5
33331193;Cenon;651;22.12;55.45;17.51
33331194;Cenon;582;20.79;59.11;14.6
33331195;Cenon;507;22.68;60.75;8.88
33331196;Cenon;712;21.35;55.76;17.42
33331197;Cenon;576;20.49;60.07;15.63
33331198;Cenon;457;26.26;60.61;9.85
33331199;Cenon;613;19.25;57.91;17.29
333311910;Cenon;672;25.6;54.46;13.99
333311911;Cenon;530;20.57;56.23;15.85
333311912;Cenon;701;24.68;53.78;14.84
333311913;Cenon;470;17.02;69.57;8.51
333311914;Cenon;415;21.69;68.43;7.47
333311915;Cenon;601;20.97;60.07;12.65
333311916;Cenon;482;22.61;68.46;6.22
33331201;Cérons;521;41.84;29.75;23.03
33331202;Cérons;526;39.73;28.33;26.43
33331211;Cessac;121;47.93;32.23;18.18
33331221;Cestas;782;23.4;31.07;40.54
33331222;Cestas;816;26.35;32.35;34.8
33331223;Cestas;639;23.16;32.39;38.81
33331224;Cestas;807;25.4;35.44;33.21
33331225;Cestas;891;21.21;27.95;45.57
33331226;Cestas;847;29.75;32.94;30.81
33331227;Cestas;771;26.98;32.81;36.19
33331228;Cestas;772;35.1;30.57;27.98
33331229;Cestas;784;28.06;37.12;28.57
333312210;Cestas;593;32.38;26.48;35.08
333312211;Cestas;795;18.36;34.97;41.38
